question,answer,category,category2,seamusid
So I have to have health insurance?,"Yes, just about everyone is required to have insurance as of Jan. 1, 2014, or else they'll be liable for a tax penalty. That coverage can be supplied through your job (including COBRA or a retirement plan), public programs such as Medicare, Medicaid or the VA, or an individual policy that you purchase.
",Penalties,Basics,
What is a health insurance exchange?,"It's an <a href=""https://www.healthcare.gov/"">online marketplace</a> where individuals and small employers can shop for insurance coverage. Enrollment began Oct. 1 for policies that will go into effect on Jan. 1. The exchanges will also help people find out if they are eligible for <a href=""https://www.healthcare.gov/how-can-i-save-money-on-marketplace-coverage/"">federal subsidies</a> to help cover the cost of coverage or if they are eligible for Medicaid, the federal-state health insurance program for the poor.",Exchanges,Basics,
How does it work to shop for insurance from an exchange?,"In theory, you can do it all or most of it online. You go to healthcare.gov or to your state-run exchange, if there is one, and create an account. You provide some basic information, like where you live and how old you are and you'll get a list of plans available in your area. If you provide income information, you'll be able to get an estimate of whether you'll eligible for federal help paying for insurance or whether you might qualify for Medicaid.<br><br>

The exchange will offer a list of health plans and their premiums and out-of-pocket costs, including deductibles and co-payments. If you decide to buy one of those plans, in most cases, you will be directed to the insurer's Web site to make the payment. Some plans or insurance companies may require a phone call to set up payment. In some jurisdictions, consumers will make their first premium payment to the exchange and then further monthly payments to the insurer.<br><br>

If your income makes you eligible for a tax credit subsidy, it will be applied upfront to the monthly premium payment. You won't have to wait until you file your taxes in 2015 to get the credit.<br><br>

You can also fill out paper applications or apply over the phone.",Exchanges,Enrolling,
Can I keep my doctor?,"If you're shopping for a new policy on the insurance exchanges or are eligible for Medicaid, the answer is ""Maybe."" For private policies purchased through the exchange, it all depends on the list of doctors that the health plan considers 'in network.' If your doctor isn't in the plan's network, you'll likely pay a higher amount for co-insurance or copayment. The number of doctors who take Medicaid is growing in states where the program is being expanded, but the number of doctors who take Medicaid is still limited in most areas.",Exchanges,Basics,
"If my employer (or former employer, if I'm retired) offers me insurance, can I shop on the exchange to get a better deal?","Even if your employer offers coverage, you can opt to buy a plan on the exchange. However, you may not be eligible for a subsidy.",Exchanges,Basics,243584170
What health services are covered?,"Each plan offered has to cover 10 ""essential health benefits."" These include: <ol><li>Ambulatory patient services</li>
<li>Emergency services</li>
<li>Hospitalization</li>
<li>Maternity and newborn care</li>
<li>Mental health and substance use disorder services, including behavioral health treatment</li>
<li>Prescription drugs</li>
<li>Rehabilitative and habilitative services and devices</li>
<li>Laboratory services</li>
<li>Preventive and wellness services and chronic disease management</li>
<li>Pediatric services, including oral (dental) and vision care</li></ol>
<br>It's important to keep in mind that the insurer does <a href=""http://www.npr.org/blogs/health/2013/08/15/210481505/obamacare-people-with-disabilities-face-complex-choices"">have some discretion</a> about which specific therapies they'll cover within each category of benefit. So it's very important to study the plans carefully to make sure it is offering any specific benefits you may need.<br><br>There's a cap on how much you pay out-of-pocket for medical services each year. That cap is $6,350 for individual policies and $12,700 for family plans in 2014. Your regular monthly premiums do not count toward the cap.",Exchanges,Basics,
How do I claim the subsidy?,"If you qualify for a subsidy to pay your premiums, you can choose to either have the credit sent directly to the insurer or pay the whole premium up front and claim the credit later on your taxes.<br><br>

If you qualify for help with deductibles and co-payments, that subsidy will be sent directly to the insurer, and you won't have to pay as much out-of-pocket.",Exchanges,Costs,243584170
"What's this about Bronze, Silver, Gold and Platinum plans?","Plans are divided into <a href=""https://www.healthcare.gov/how-do-i-choose-marketplace-insurance/"">four different types</a> – bronze, silver, gold and platinum – varying based on the size of their deductibles, copayments and other consumer costs. The bronze plan pays for 60 percent of medical costs; the platinum, 90 percent. Premiums  are highest and deductibles the lowest for platinum plans. Bronze plans generally have deductibles in the thousands of dollars; $5,000 and $10,000 deductibles are not unusual for bronze plans. Within each tier, the amount you pay for deductibles, copayments and co-insurance may vary from company to company and even from plan to plan within companies.<br><br>
<p>No matter which plan you choose, the 10 essential benefits remain the same. There is also the option to purchase catastrophic insurance — low cost plans that cover minimal services but provide a safety net in the event of an accident or serious illness. But those plans do not come with subsidies.<br><br>
<p>People up to age 30 will have the option of buying <a href=""https://www.healthcare.gov/what-are-the-different-types-of-health-insurance/"">a catastrophic plan</a> that will cover only minimal services until they meet a deductible of roughly $6,400. The premium is usually much lower than the other plans. After the deductible is met, the plan covers the 10 essential health benefits — a kind of ""safety net"" coverage in case you have an accident or serious illness, according to the <a href=""https://www.healthcare.gov/what-are-the-different-types-of-health-insurance/"">Healthcare.gov website</a>. Catastrophic plans usually do not provide coverage for services like prescription drugs or shots. And there are other limits.",Exchanges,Basics,
Do small businesses have to shop at the exchanges to cover employees?,"Employers with fewer than 50 workers are not required to buy health insurance for their employees. Many small business do offer health care as a benefit, however, and for them, the insurance exchanges represent a new option in terms of where to shop.",Exchanges,Businesses,
Will COBRA rates increase?,"COBRA is a transitional arrangement that allows you to stay on a former employer's health insurance for up to 18 months after you've stopped working for them. It's expensive: You pay the entire premium — including any share the employer had previously paid on your behalf — plus a 2 percent administrative fee.<br><br>

Whether your COBRA rate will go up depends entirely on what happens with your former employer's health insurance plans. If their rates go up, so will yours. You'll likely see a higher increase than your former co-workers, however. That's because their premiums may be subsidized by the employer, whereas yours are not.<br><br>

Many people who might have used COBRA will find that <a href=""http://www.npr.org/blogs/health/2013/09/17/223341729/laid-off-and-looking-for-health-insurance-beware-of-cobra"" target=""_self"">buying insurance on the exchanges is cheaper</a>. But pay close attention to when the enrollment period for the exchanges are. People who enroll in COBRA and later decide they want to switch to an exchange plan generally won't be allowed to do so until the exchange's next annual open enrollment period. An exception would be if they exhaust their COBRA coverage.",Employers,COBRA,223341729
